"VAT";"Periods";"Natural gas/Transport rate (Euro/year)";"Natural gas/Fixed delivery rate (Euro/year)";"Natural gas/Variable delivery rate contract prices (Euro/m3)";"Natural gas/Energy tax (Euro/m3)";"Electricity/Transport rate (Euro/year)";"Electricity/Fixed delivery rate (Euro/year)";"Electricity/Variable delivery rate contract prices (Euro/kWh)";"Electricity/Energy tax (Euro/kWh)";"Electricity/Energy tax refund (Euro/year)"
"Including VAT";"2021 January";"  187.85";"   67.48";"  0.2781";" 0.42176";"  257.35";"   67.49";"  0.0661";" 0.11408";" -558.56"
"Including VAT";"2021 February";"  187.85";"   67.73";"  0.2763";" 0.42176";"  257.35";"   67.73";"  0.0657";" 0.11408";" -558.56"
"Including VAT";"2021 March";"  187.85";"   67.95";"  0.2752";" 0.42176";"  257.35";"   67.96";"  0.0657";" 0.11408";" -558.56"
"Including VAT";"2021 April";"  187.85";"   68.25";"  0.2754";" 0.42176";"  257.35";"   68.25";"  0.0659";" 0.11408";" -558.56"
"Including VAT";"2021 May";"  187.85";"   68.56";"  0.2764";" 0.42176";"  257.35";"   68.56";"  0.0663";" 0.11408";" -558.56"
"Including VAT";"2021 June";"  187.85";"   68.86";"  0.2779";" 0.42176";"  257.35";"   68.84";"  0.0670";" 0.11408";" -558.56"
"Including VAT";"2021 July";"  187.85";"   69.31";"  0.2930";" 0.42176";"  257.35";"   69.34";"  0.0734";" 0.11408";" -558.56"
"Including VAT";"2021 August";"  187.85";"   69.54";"  0.2958";" 0.42176";"  257.35";"   69.57";"  0.0745";" 0.11408";" -558.56"
"Including VAT";"2021 September";"  187.85";"   69.73";"  0.2992";" 0.42176";"  257.35";"   69.76";"  0.0755";" 0.11408";" -558.56"
"Including VAT";"2021 October";"  187.85";"   69.95";"  0.3056";" 0.42176";"  257.35";"   69.98";"  0.0773";" 0.11408";" -558.56"
"Including VAT";"2021 November";"  187.85";"   70.20";"  0.3311";" 0.42176";"  257.35";"   70.22";"  0.0830";" 0.11408";" -558.56"
"Including VAT";"2021 December";"  187.85";"   70.48";"  0.3564";" 0.42176";"  257.35";"   70.50";"  0.0890";" 0.11408";" -558.56"
"Including VAT";"2021";"  187.85";"   69.00";"  0.2950";" 0.42176";"  257.35";"   69.02";"  0.0725";" 0.11408";" -558.56"
"Including VAT";"2022 January";"  191.33";"   71.11";"  0.5036";" 0.43950";"  267.12";"   71.11";"  0.1256";" 0.04452";" -824.77"
"Including VAT";"2022 February";"  191.33";"   71.69";"  0.5493";" 0.43950";"  267.12";"   71.66";"  0.1377";" 0.04452";" -824.77"
"Including VAT";"2022 March";"  191.33";"   71.97";"  0.5696";" 0.43950";"  267.12";"   71.94";"  0.1410";" 0.04452";" -824.77"
"Including VAT";"2022 April";"  191.33";"   72.18";"  0.6307";" 0.43950";"  267.12";"   72.16";"  0.1546";" 0.04452";" -824.77"
"Including VAT";"2022 May";"  191.33";"   72.43";"  0.6716";" 0.43950";"  267.12";"   72.40";"  0.1634";" 0.04452";" -824.77"
"Including VAT";"2022 June";"  191.33";"   72.62";"  0.6928";" 0.43950";"  267.12";"   72.59";"  0.1691";" 0.04452";" -824.77"
"Including VAT";"2022 July";"  172.35";"   65.58";"  0.7698";" 0.39591";"  240.63";"   65.51";"  0.1793";" 0.04010";" -742.98"
"Including VAT";"2022 August";"  172.35";"   65.71";"  0.7975";" 0.39591";"  240.63";"   65.64";"  0.1882";" 0.04010";" -742.98"
"Including VAT";"2022 September";"  172.35";"   65.03";"  0.8856";" 0.39591";"  240.63";"   65.74";"  0.2096";" 0.04010";" -742.98"
"Including VAT";"2022 October";"  172.35";"   65.89";"  1.0886";" 0.39591";"  240.63";"   65.80";"  0.2592";" 0.04010";" -742.98"
"Including VAT";"2022 November";"  172.35";"   66.02";"  1.4979";" 0.39591";"  240.63";"   65.92";"  0.3782";" 0.04010";" -742.98"
"Including VAT";"2022 December";"  172.35";"   66.08";"  1.5162";" 0.39591";"  240.63";"   66.20";"  0.4028";" 0.04010";" -742.98"
"Including VAT";"2022";"  181.84";"   68.86";"  0.8478";" 0.41771";"  253.88";"   68.89";"  0.2091";" 0.04231";" -783.88"
"Including VAT";"2023 January";"  217.69";"   73.47";"  1.9961";" 0.59266";"  342.16";"   73.20";"  0.5150";" 0.15245";" -596.86"
"Including VAT";"2023 February";"  217.69";"   73.53";"  1.8467";" 0.59266";"  342.16";"   73.26";"  0.4743";" 0.15245";" -596.86"
"Including VAT";"2023 March";"  217.69";"   73.60";"  1.7209";" 0.59266";"  342.16";"   73.33";"  0.4307";" 0.15245";" -596.86"
"Including VAT";"2023 April";"  217.69";"   73.68";"  1.1846";" 0.59266";"  342.16";"   73.40";"  0.2979";" 0.15245";" -596.86"
"Including VAT";"2023 May";"  217.69";"   73.75";"  0.9520";" 0.59266";"  342.16";"   73.46";"  0.2507";" 0.15245";" -596.86"
"Including VAT";"2023 June";"  217.69";"   73.81";"  0.8902";" 0.59266";"  342.16";"   73.51";"  0.2343";" 0.15245";" -596.86"
"Including VAT";"2023 July";"  217.69";"   74.67";"  0.6951";" 0.59266";"  342.16";"   74.45";"  0.2017";" 0.15245";" -596.86"
"Including VAT";"2023 August";"  217.69";"   75.02";"  0.6697";" 0.59266";"  342.16";"   74.77";"  0.1963";" 0.15245";" -596.86"
"Including VAT";"2023 September";"  217.69";"   75.44";"  0.6683";" 0.59266";"  342.16";"   75.22";"  0.1964";" 0.15245";" -596.86"
"Including VAT";"2023 October";"  217.69";"   75.13";"  0.6609";" 0.59266";"  342.16";"   78.02";"  0.1922";" 0.15245";" -596.86"
"Including VAT";"2023 November";"  217.69";"   74.21";"  0.6834";" 0.59266";"  342.16";"   81.62";"  0.1972";" 0.15245";" -596.86"
"Including VAT";"2023 December";"  217.69";"   74.62";"  0.6927";" 0.59266";"  342.16";"   81.95";"  0.1994";" 0.15245";" -596.86"
"Including VAT";"2023";"  217.69";"   74.24";"  1.0551";" 0.59266";"  342.16";"   75.52";"  0.2822";" 0.15245";" -596.86"
"Including VAT";"2024 January";"  232.39";"   73.85";"  0.6980";" 0.70544";"  415.67";"   89.20";"  0.1998";" 0.13165";" -631.35"
"Including VAT";"2024 February";"  232.39";"   74.42";"  0.6896";" 0.70544";"  415.67";"   89.70";"  0.1988";" 0.13165";" -631.35"
"Including VAT";"2024 March";"  232.39";"   75.23";"  0.6769";" 0.70544";"  415.67";"   90.96";"  0.1936";" 0.13165";" -631.35"
"Including VAT";"2024 April";"  232.39";"   75.85";"  0.6381";" 0.70544";"  415.67";"   92.28";"  0.1823";" 0.13165";" -631.35"
"Including VAT";"2024 May";"  232.39";"   77.83";"  0.5904";" 0.70544";"  415.67";"   95.86";"  0.1729";" 0.13165";" -631.35"
"Including VAT";"2024 June";"  232.39";"   78.49";"  0.5859";" 0.70544";"  415.67";"   97.35";"  0.1703";" 0.13165";" -631.35"
"Including VAT";"2024 July";"  232.39";"   79.63";"  0.5752";" 0.70544";"  415.67";"   98.24";"  0.1570";" 0.13165";" -631.35"
"Including VAT";"2024 August";"  232.39";"   81.13";"  0.5870";" 0.70544";"  415.67";"   97.71";"  0.1515";" 0.13165";" -631.35"
"Including VAT";"2024 September";"  232.39";"   81.49";"  0.5880";" 0.70544";"  415.67";"   98.65";"  0.1512";" 0.13165";" -631.35"
"Including VAT";"2024 October";"  232.39";"   81.86";"  0.6097";" 0.70544";"  415.67";"   99.57";"  0.1572";" 0.13165";" -631.35"
"Including VAT";"2024 November";"  232.39";"   82.27";"  0.6224";" 0.70544";"  415.67";"  100.28";"  0.1595";" 0.13165";" -631.35"
"Including VAT";"2024 December*";"  232.39";"   82.68";"  0.6222";" 0.70544";"  415.67";"  101.06";"  0.1584";" 0.13165";" -631.35"
"Including VAT";"2024*";"  232.39";"   78.73";"  0.6236";" 0.70544";"  415.67";"   95.90";"  0.1710";" 0.13165";" -631.35"
